Cell_type.x,Gene_symbol.x,Gene_id,Cell.Type,DOI,gene,Tissue_type_PO,Cell_type.y,Gene_symbol.y,Marker_resource
leaf epidermis,AT5G12950,AT5G12950,Epidermis,10.1093/plcell/koaa060,AT5G12950,PO0025034,leaf epidermis,AT5G12950,scRNA-seq
leaf epidermis,GPAT4,AT1G01610,Mesophyll cell,10.1038/nature13919,GPAT4,PO0025034,leaf epidermis,GPAT4,scRNA-seq
leaf epidermis,GPAT4,AT1G01610,Epidermis,10.1093/plcell/koaa060,GPAT4,PO0025034,leaf epidermis,GPAT4,scRNA-seq
leaf epidermis,CSLA03,AT1G23480,Epidermis,10.1093/plcell/koaa060,CSLA3,PO0025034,leaf epidermis,CSLA03,scRNA-seq
leaf epidermis,LTP3,AT5G59320,NA,NA,LTP3,PO0025034,leaf epidermis,LTP3,scRNA-seq
leaf epidermis,THI2.2,AT5G36910,Mesophyll cell,10.1038/nature13919,THI2.2,PO0025034,leaf epidermis,THI2.2,scRNA-seq
leaf epidermis,THI2.2,AT5G36910,Mesophyll cell,10.1038/nature13919,THI2.2,PO0025034,leaf,THI2.2,Bulk RNA-seq
leaf epidermis,THI2.2,AT5G36910,Epidermis,10.1093/plcell/koaa060,THI2.2,PO0025034,leaf epidermis,THI2.2,scRNA-seq
leaf epidermis,THI2.2,AT5G36910,Epidermis,10.1093/plcell/koaa060,THI2.2,PO0025034,leaf,THI2.2,Bulk RNA-seq
leaf epidermis,AT3G23450,AT3G23450,Epidermis,10.1093/plcell/koaa060,AT3G23450,PO0025034,leaf epidermis,AT3G23450,scRNA-seq
leaf epidermis,AT1G29500,AT1G29500,Epidermis,10.1093/plcell/koaa060,SAUR66,PO0025034,leaf epidermis,AT1G29500,scRNA-seq
leaf epidermis,AT2G01300,AT2G01300,Epidermis,10.1093/plcell/koaa060,AT2G01300,PO0025034,leaf epidermis,AT2G01300,scRNA-seq
leaf epidermis,ABCG11,AT1G17840,Mesophyll cell,10.1038/nature13919,ABCG11,PO0025034,leaf epidermis,ABCG11,scRNA-seq
leaf epidermis,ABCG11,AT1G17840,Epidermis,10.1093/plcell/koaa060,ABCG11,PO0025034,leaf epidermis,ABCG11,scRNA-seq
leaf epidermis,AT1G78820,AT1G78820,NA,NA,AT1G78820,PO0025034,leaf mesophyll,AT1G78820,scRNA-seq
leaf epidermis,AT1G78820,AT1G78820,NA,NA,AT1G78820,PO0025034,leaf epidermis,AT1G78820,scRNA-seq
leaf epidermis,CYP96A4,AT5G52320,Epidermis,10.1093/plcell/koaa060,CYP96A4,PO0025034,leaf epidermis,CYP96A4,scRNA-seq
leaf epidermis,AT5G01790,AT5G01790,Epidermis,10.1093/plcell/koaa060,AT5G01790,PO0025034,leaf epidermis,AT5G01790,scRNA-seq
leaf epidermis,AT4G14746,AT4G14746,Epidermis,10.1093/plcell/koaa060,AT4G14746,PO0025034,leaf epidermis,AT4G14746,scRNA-seq
leaf epidermis,AT1G78850,AT1G78850,Epidermis,10.1093/plcell/koaa060,AT1G78850,PO0025034,bundle sheath,AT1G78850,scRNA-seq
leaf epidermis,AT1G78850,AT1G78850,Epidermis,10.1093/plcell/koaa060,AT1G78850,PO0025034,leaf mesophyll,AT1G78850,scRNA-seq
leaf epidermis,AT1G78850,AT1G78850,Epidermis,10.1093/plcell/koaa060,AT1G78850,PO0025034,leaf epidermis,AT1G78850,scRNA-seq
leaf epidermis,AT2G33830,AT2G33830,Guard cell,10.1093/plcell/koaa060,DRMH1,PO0025034,leaf epidermis,AT2G33830,scRNA-seq
leaf epidermis,TT5,AT3G55120,Epidermis,10.1093/plcell/koaa060,CHI1,PO0025034,leaf epidermis,TT5,scRNA-seq
leaf epidermis,CER1,AT1G02205,Epidermis,10.1104/pp.111.172320,CER1,PO0025034,leaf epidermis,CER1,scRNA-seq
leaf epidermis,CER1,AT1G02205,Epidermis,10.1093/plcell/koaa060,CER1,PO0025034,leaf epidermis,CER1,scRNA-seq
leaf epidermis,AT4G25830,AT4G25830,Epidermis,10.1093/plcell/koaa060,AT4G25830,PO0025034,leaf epidermis,AT4G25830,scRNA-seq
leaf epidermis,IGMT4,AT1G21130,Epidermis,10.1093/plcell/koaa060,IGMT4,PO0025034,leaf epidermis,IGMT4,scRNA-seq
leaf epidermis,AT5G45280,AT5G45280,Mesophyll cell,10.1038/nature13919,PAE11,PO0025034,leaf epidermis,AT5G45280,scRNA-seq
leaf epidermis,AT5G45280,AT5G45280,Epidermis,10.1093/plcell/koaa060,PAE11,PO0025034,leaf epidermis,AT5G45280,scRNA-seq
leaf epidermis,ACP1,AT3G05020,Vasculature,10.1093/plcell/koaa060,ACP1,PO0025034,bundle sheath,ACP1,scRNA-seq
leaf epidermis,ACP1,AT3G05020,Vasculature,10.1093/plcell/koaa060,ACP1,PO0025034,leaf epidermis,ACP1,scRNA-seq
leaf epidermis,ATCSLA09,AT5G03760,NA,NA,CSLA9,PO0025034,leaf epidermis,ATCSLA09,scRNA-seq
leaf epidermis,AT3G16530,AT3G16530,Epidermis,10.1093/plcell/koaa060,AT3G16530,PO0025034,leaf epidermis,AT3G16530,scRNA-seq
leaf epidermis,AT3G16530,AT3G16530,Epidermis,10.1093/plcell/koaa060,AT3G16530,PO0025034,leaf,AT3G16530,Bulk RNA-seq
leaf epidermis,AT5G43190,AT5G43190,Epidermis,10.1093/plcell/koaa060,AT5G43190,PO0025034,leaf epidermis,AT5G43190,scRNA-seq
leaf epidermis,AP4.3A,AT2G32800,Epidermis,10.1093/plcell/koaa060,LECRKS2,PO0025034,leaf epidermis,AP4.3A,scRNA-seq
leaf epidermis,AT4G30470,AT4G30470,Epidermis,10.1093/plcell/koaa060,AT4G30470,PO0025034,leaf epidermis,AT4G30470,scRNA-seq
leaf epidermis,AT1G65295,AT1G65295,Epidermis,10.1093/plcell/koaa060,AT1G65295,PO0025034,leaf epidermis,AT1G65295,scRNA-seq
leaf epidermis,AT5G13400,AT5G13400,Mesophyll cell,10.1038/nature13919,NPF6.1,PO0025034,leaf epidermis,AT5G13400,scRNA-seq
leaf epidermis,AT5G13400,AT5G13400,Epidermis,10.1093/plcell/koaa060,NPF6.1,PO0025034,leaf epidermis,AT5G13400,scRNA-seq
leaf epidermis,AT1G21830,AT1G21830,Epidermis,10.1093/plcell/koaa060,AT1G21830,PO0025034,leaf epidermis,AT1G21830,scRNA-seq
leaf epidermis,CML23,AT1G66400,Epidermis,10.1093/plcell/koaa060,CML23,PO0025034,leaf epidermis,CML23,scRNA-seq
leaf epidermis,AT2G32210,AT2G32210,NA,NA,AT2G32210,PO0025034,leaf epidermis,AT2G32210,scRNA-seq
leaf epidermis,AUX1,AT2G38120,Epidermis,10.1093/plcell/koaa060,AUX1,PO0025034,leaf epidermis,AUX1,scRNA-seq
leaf epidermis,GPAT8,AT4G00400,Epidermis,10.1093/plcell/koaa060,GPAT8,PO0025034,leaf epidermis,GPAT8,scRNA-seq
leaf epidermis,TLL1,AT1G45201,NA,NA,ATTLL1,PO0025034,leaf epidermis,TLL1,scRNA-seq
leaf epidermis,TLL1,AT1G45201,NA,NA,ATTLL1,PO0025034,leaf,TLL1,Bulk RNA-seq
leaf epidermis,AT5G44005,AT5G44005,Epidermis,10.1093/plcell/koaa060,AT5G44005,PO0025034,leaf mesophyll,AT5G44005,scRNA-seq
leaf epidermis,AT5G44005,AT5G44005,Epidermis,10.1093/plcell/koaa060,AT5G44005,PO0025034,leaf epidermis,AT5G44005,scRNA-seq
leaf epidermis,UGT85A2,AT1G22360,Mesophyll cell,10.1038/nature13919,UGT85A2,PO0025034,leaf epidermis,UGT85A2,scRNA-seq
leaf epidermis,UGT85A2,AT1G22360,Epidermis,10.1093/plcell/koaa060,UGT85A2,PO0025034,leaf epidermis,UGT85A2,scRNA-seq
leaf epidermis,LAX1,AT5G01240,Epidermis,10.1093/plcell/koaa060,LAX1,PO0025034,leaf epidermis,LAX1,scRNA-seq
leaf epidermis,KCS16,AT4G34250,Epidermis,10.1093/plcell/koaa060,KCS16,PO0025034,leaf epidermis,KCS16,scRNA-seq
leaf epidermis,AT3G45730,AT3G45730,Epidermis,10.1093/plcell/koaa060,AT3G45730,PO0025034,leaf epidermis,AT3G45730,scRNA-seq
leaf epidermis,AGP18,AT4G37450,Epidermis,10.1093/plcell/koaa060,AGP18,PO0025034,leaf epidermis,AGP18,scRNA-seq
leaf epidermis,AT4G17470,AT4G17470,NA,NA,AT4G17470,PO0025034,leaf epidermis,AT4G17470,scRNA-seq
leaf epidermis,AT5G13200,AT5G13200,NA,NA,AT5G13200,PO0025034,leaf mesophyll,AT5G13200,scRNA-seq
leaf epidermis,AT5G13200,AT5G13200,NA,NA,AT5G13200,PO0025034,leaf epidermis,AT5G13200,scRNA-seq
leaf epidermis,AT1G34640,AT1G34640,Epidermis,10.1093/plcell/koaa060,AT1G34640,PO0025034,leaf epidermis,AT1G34640,scRNA-seq
leaf epidermis,TCL2,AT2G30424,Mesophyll cell,10.1038/nature13919,TCL2,PO0025034,leaf epidermis,TCL2,scRNA-seq
leaf epidermis,TCL2,AT2G30424,Epidermis,10.1093/plcell/koaa060,TCL2,PO0025034,leaf epidermis,TCL2,scRNA-seq
leaf epidermis,FLS1,AT5G08640,Epidermis,10.1093/plcell/koaa060,FLS1,PO0025034,leaf epidermis,FLS1,scRNA-seq
leaf epidermis,AT3G01860,AT3G01860,Epidermis,10.1093/plcell/koaa060,AT3G01860,PO0025034,leaf epidermis,AT3G01860,scRNA-seq
leaf epidermis,AT1G29450,AT1G29450,Mesophyll cell,10.1038/nature13919,SAUR64,PO0025034,leaf epidermis,AT1G29450,scRNA-seq
leaf epidermis,AT1G29450,AT1G29450,Epidermis,10.1093/plcell/koaa060,SAUR64,PO0025034,leaf epidermis,AT1G29450,scRNA-seq
leaf epidermis,AT4G18280,AT4G18280,Guard cell,10.1093/plcell/koaa060,AT4G18280,PO0025034,leaf epidermis,AT4G18280,scRNA-seq
leaf epidermis,ZCF37,AT1G59590,Epidermis,10.1093/plcell/koaa060,ZCF37,PO0025034,leaf epidermis,ZCF37,scRNA-seq
leaf epidermis,AT5G23750,AT5G23750,Epidermis,10.1093/plcell/koaa060,AT5G23750,PO0025034,leaf epidermis,AT5G23750,scRNA-seq
leaf epidermis,AT5G14360,AT5G14360,Epidermis,10.1093/plcell/koaa060,AT5G14360,PO0025034,leaf epidermis,AT5G14360,scRNA-seq
leaf epidermis,AT2G16380,AT2G16380,Mesophyll cell,10.1038/nature13919,SFH7,PO0025034,leaf epidermis,AT2G16380,scRNA-seq
leaf epidermis,AT2G16380,AT2G16380,Epidermis,10.1093/plcell/koaa060,SFH7,PO0025034,leaf epidermis,AT2G16380,scRNA-seq
leaf epidermis,AT5G57710,AT5G57710,Epidermis,10.1093/plcell/koaa060,SMAX1,PO0025034,leaf epidermis,AT5G57710,scRNA-seq
leaf epidermis,LACS2,AT1G49430,Mesophyll cell,10.1038/nature13919,LACS2,PO0025034,leaf epidermis,LACS2,scRNA-seq
leaf epidermis,LACS2,AT1G49430,Mesophyll cell,10.1038/nature13919,LACS2,PO0025034,leaf epidermis,LACS2,Bulk RNA-seq
leaf epidermis,LACS2,AT1G49430,Epidermis,10.1093/plcell/koaa060,LACS2,PO0025034,leaf epidermis,LACS2,scRNA-seq
leaf epidermis,LACS2,AT1G49430,Epidermis,10.1093/plcell/koaa060,LACS2,PO0025034,leaf epidermis,LACS2,Bulk RNA-seq
leaf epidermis,PDF2,AT4G04890,Mesophyll cell,10.1038/nature13919,PDF2,PO0025034,leaf epidermis,PDF2,scRNA-seq
leaf epidermis,PDF2,AT4G04890,Epidermis,10.1093/plcell/koaa060,PDF2,PO0025034,leaf epidermis,PDF2,scRNA-seq
leaf epidermis,SWEET16,AT3G16690,Epidermis,10.1093/plcell/koaa060,SWEET16,PO0025034,leaf epidermis,SWEET16,scRNA-seq
leaf epidermis,GPAT2,AT1G02390,Epidermis,10.1093/plcell/koaa060,GPAT2,PO0025034,leaf epidermis,GPAT2,scRNA-seq
leaf epidermis,AT3G52870,AT3G52870,NA,NA,IQM3,PO0025034,leaf epidermis,AT3G52870,scRNA-seq
leaf epidermis,AT5G28630,AT5G28630,Epidermis,10.1093/plcell/koaa060,AT5G28630,PO0025034,leaf epidermis,AT5G28630,scRNA-seq
leaf epidermis,AT2G22880,AT2G22880,NA,NA,AT2G22880,PO0025034,leaf mesophyll,AT2G22880,scRNA-seq
leaf epidermis,AT2G22880,AT2G22880,NA,NA,AT2G22880,PO0025034,leaf epidermis,AT2G22880,scRNA-seq
leaf epidermis,AT5G63180,AT5G63180,NA,NA,AT5G63180,PO0025034,leaf epidermis,AT5G63180,scRNA-seq
leaf epidermis,AT3G61550,AT3G61550,Epidermis,10.1093/plcell/koaa060,ATL68,PO0025034,leaf epidermis,AT3G61550,scRNA-seq
leaf epidermis,CRK41,AT4G00970,Epidermis,10.1093/plcell/koaa060,CRK41,PO0025034,leaf epidermis,CRK41,scRNA-seq
leaf epidermis,AT1G21050,AT1G21050,Epidermis,10.1093/plcell/koaa060,AT1G21050,PO0025034,bundle sheath,AT1G21050,scRNA-seq
leaf epidermis,AT1G21050,AT1G21050,Epidermis,10.1093/plcell/koaa060,AT1G21050,PO0025034,leaf epidermis,AT1G21050,scRNA-seq
leaf epidermis,PRE1,AT5G39860,Mesophyll cell,10.1038/nature13919,PRE1,PO0025034,leaf epidermis,PRE1,scRNA-seq
leaf epidermis,AT5G48900,AT5G48900,Epidermis,10.1093/plcell/koaa060,AT5G48900,PO0025034,leaf epidermis,AT5G48900,scRNA-seq
leaf epidermis,IAA14,AT4G14550,Epidermis,10.1093/plcell/koaa060,IAA14,PO0025034,leaf epidermis,IAA14,scRNA-seq
leaf epidermis,SOT12,AT2G03760,NA,NA,SOT12,PO0025034,bundle sheath,SOT12,scRNA-seq
leaf epidermis,SOT12,AT2G03760,NA,NA,SOT12,PO0025034,leaf epidermis,SOT12,scRNA-seq
leaf epidermis,UXS3,AT5G59290,Epidermis,10.1093/plcell/koaa060,UXS3,PO0025034,leaf epidermis,UXS3,scRNA-seq
leaf epidermis,UXS3,AT5G59290,Guard cell,10.1093/plcell/koaa060,UXS3,PO0025034,leaf epidermis,UXS3,scRNA-seq
leaf epidermis,SOB5,AT5G08150,Epidermis,10.1093/plcell/koaa060,SOB5,PO0025034,leaf epidermis,SOB5,scRNA-seq
leaf epidermis,DOT3,AT5G10250,Epidermis,10.1093/plcell/koaa060,DOT3,PO0025034,leaf epidermis,DOT3,scRNA-seq
leaf epidermis,OPR2,AT1G76690,NA,NA,OPR2,PO0025034,leaf mesophyll,OPR2,scRNA-seq
leaf epidermis,OPR2,AT1G76690,NA,NA,OPR2,PO0025034,leaf epidermis,OPR2,scRNA-seq
leaf epidermis,AT1G11410,AT1G11410,Epidermis,10.1093/plcell/koaa060,AT1G11410,PO0025034,leaf epidermis,AT1G11410,scRNA-seq
leaf epidermis,EXPA10,AT1G26770,Epidermis,10.1093/plcell/koaa060,ATEXPA10,PO0025034,leaf mesophyll,EXPA10,scRNA-seq
leaf epidermis,EXPA10,AT1G26770,Epidermis,10.1093/plcell/koaa060,ATEXPA10,PO0025034,leaf epidermis,EXPA10,scRNA-seq
leaf epidermis,AT4G18220,AT4G18220,Mesophyll cell,10.1038/nature13919,PUP21,PO0025034,leaf epidermis,AT4G18220,scRNA-seq
leaf epidermis,GH9C2,AT1G64390,NA,NA,AtGH9C2,PO0025034,leaf epidermis,GH9C2,scRNA-seq
leaf epidermis,SIP1,AT5G40390,Epidermis,10.1093/plcell/koaa060,RFS5,PO0025034,leaf epidermis,SIP1,scRNA-seq
leaf epidermis,ABCB2,AT4G25960,Mesophyll cell,10.1038/nature13919,ABCB2,PO0025034,leaf epidermis,ABCB2,scRNA-seq
leaf epidermis,ABCB2,AT4G25960,Epidermis,10.1093/plcell/koaa060,ABCB2,PO0025034,leaf epidermis,ABCB2,scRNA-seq
leaf epidermis,BAG2,AT5G62100,Epidermis,10.1093/plcell/koaa060,ATBAG2,PO0025034,leaf epidermis,BAG2,scRNA-seq
leaf epidermis,BAG2,AT5G62100,Guard cell,10.1093/plcell/koaa060,ATBAG2,PO0025034,leaf epidermis,BAG2,scRNA-seq
leaf epidermis,HIR2,AT3G01290,NA,NA,HIR3,PO0025034,leaf mesophyll,HIR2,scRNA-seq
leaf epidermis,HIR2,AT3G01290,NA,NA,HIR3,PO0025034,leaf epidermis,HIR2,scRNA-seq
leaf epidermis,MYB30,AT3G28910,Epidermis,10.1093/plcell/koaa060,MYB30,PO0025034,leaf epidermis,MYB30,scRNA-seq
leaf epidermis,CRK,AT3G50530,Epidermis,10.1093/plcell/koaa060,CRK,PO0025034,leaf epidermis,CRK,scRNA-seq
leaf epidermis,AT4G02860,AT4G02860,Epidermis,10.1093/plcell/koaa060,AT4G02860,PO0025034,leaf epidermis,AT4G02860,scRNA-seq
leaf epidermis,DRT100,AT3G12610,Epidermis,10.1093/plcell/koaa060,DRT100,PO0025034,leaf epidermis,DRT100,scRNA-seq
leaf epidermis,AT1G68780,AT1G68780,Epidermis,10.1093/plcell/koaa060,AT1G68780,PO0025034,leaf epidermis,AT1G68780,scRNA-seq
leaf epidermis,HR4,AT3G50480,Mesophyll cell,10.1093/plcell/koaa060,HR4,PO0025034,leaf mesophyll,HR4,scRNA-seq
leaf epidermis,HR4,AT3G50480,Mesophyll cell,10.1093/plcell/koaa060,HR4,PO0025034,leaf epidermis,HR4,scRNA-seq
leaf epidermis,HR4,AT3G50480,Hydathode cell,10.1093/plcell/koaa060,HR4,PO0025034,leaf mesophyll,HR4,scRNA-seq
leaf epidermis,HR4,AT3G50480,Hydathode cell,10.1093/plcell/koaa060,HR4,PO0025034,leaf epidermis,HR4,scRNA-seq
leaf epidermis,PUB23,AT2G35930,NA,NA,PUB23,PO0025034,leaf epidermis,PUB23,scRNA-seq
leaf epidermis,ATSYTF,AT3G18370,Epidermis,10.1093/plcell/koaa060,SYTF,PO0025034,leaf epidermis,ATSYTF,scRNA-seq
leaf epidermis,PSK5,AT5G65870,NA,NA,PSK5,PO0025034,bundle sheath,PSK5,scRNA-seq
leaf epidermis,PSK5,AT5G65870,NA,NA,PSK5,PO0025034,leaf epidermis,PSK5,scRNA-seq
leaf epidermis,AT1G78210,AT1G78210,Epidermis,10.1093/plcell/koaa060,AT1G78210,PO0025034,leaf epidermis,AT1G78210,scRNA-seq
leaf epidermis,AT1G78210,AT1G78210,Epidermis,10.1093/plcell/koaa060,AT1G78210,PO0025034,leaf mesophyll,AT1G78210,Bulk RNA-seq
leaf epidermis,AT1G66760,AT1G66760,NA,NA,DTX9,PO0025034,leaf mesophyll,AT1G66760,scRNA-seq
leaf epidermis,AT1G66760,AT1G66760,NA,NA,DTX9,PO0025034,leaf epidermis,AT1G66760,scRNA-seq
leaf epidermis,SYP122,AT3G52400,Mesophyll cell,10.1093/plcell/koaa060,SYP122,PO0025034,leaf epidermis,SYP122,scRNA-seq
leaf epidermis,SYP122,AT3G52400,Hydathode cell,10.1093/plcell/koaa060,SYP122,PO0025034,leaf epidermis,SYP122,scRNA-seq
leaf epidermis,AT5G06270,AT5G06270,Epidermis,10.1093/plcell/koaa060,AT5G06270,PO0025034,leaf epidermis,AT5G06270,scRNA-seq
leaf epidermis,CLE43,AT1G25425,Epidermis,10.1093/plcell/koaa060,CLE43,PO0025034,leaf epidermis,CLE43,scRNA-seq
leaf epidermis,AT4G05590,AT4G05590,NA,NA,AT4G05590,PO0025034,leaf epidermis,AT4G05590,scRNA-seq
leaf epidermis,ICR1,AT1G17140,NA,NA,ICR1,PO0025034,leaf epidermis,ICR1,scRNA-seq
leaf epidermis,CYP81D8,AT4G37370,NA,NA,CYP81D8,PO0025034,leaf mesophyll,CYP81D8,scRNA-seq
leaf epidermis,CYP81D8,AT4G37370,NA,NA,CYP81D8,PO0025034,leaf epidermis,CYP81D8,scRNA-seq
leaf epidermis,CVL1,AT2G32010,Epidermis,10.1093/plcell/koaa060,IP5P7,PO0025034,leaf epidermis,CVL1,scRNA-seq
leaf epidermis,AT1G06000,AT1G06000,Epidermis,10.1093/plcell/koaa060,UGT89C1,PO0025034,leaf epidermis,AT1G06000,scRNA-seq
leaf epidermis,ZW9,AT1G58270,Mesophyll cell,10.1038/nature13919,ZW9,PO0025034,leaf epidermis,ZW9,scRNA-seq
leaf epidermis,AT1G72416,AT1G72416,Vasculature,10.1093/plcell/koaa060,AT1G72416,PO0025034,leaf epidermis,AT1G72416,scRNA-seq
leaf epidermis,AT2G30550,AT2G30550,NA,NA,AT2G30550,PO0025034,leaf epidermis,AT2G30550,scRNA-seq
leaf epidermis,MYB94,AT3G47600,Epidermis,10.1093/plcell/koaa060,MYB94,PO0025034,leaf epidermis,MYB94,scRNA-seq
leaf epidermis,AT1G62660,AT1G62660,Epidermis,10.1093/plcell/koaa060,BFRUCT3,PO0025034,leaf mesophyll,AT1G62660,scRNA-seq
leaf epidermis,AT1G62660,AT1G62660,Epidermis,10.1093/plcell/koaa060,BFRUCT3,PO0025034,leaf epidermis,AT1G62660,scRNA-seq
leaf epidermis,AT1G25400,AT1G25400,NA,NA,AT1G25400,PO0025034,leaf mesophyll,AT1G25400,scRNA-seq
leaf epidermis,AT1G25400,AT1G25400,NA,NA,AT1G25400,PO0025034,leaf epidermis,AT1G25400,scRNA-seq
leaf epidermis,AT3G10930,AT3G10930,NA,NA,AT3G10930,PO0025034,leaf epidermis,AT3G10930,scRNA-seq
leaf epidermis,AT3G10720,AT3G10720,Epidermis,10.1093/plcell/koaa060,PME25,PO0025034,leaf epidermis,AT3G10720,scRNA-seq
leaf epidermis,AT1G69890,AT1G69890,Epidermis,10.1093/plcell/koaa060,AT1G69890,PO0025034,leaf mesophyll,AT1G69890,scRNA-seq
leaf epidermis,AT1G69890,AT1G69890,Epidermis,10.1093/plcell/koaa060,AT1G69890,PO0025034,leaf epidermis,AT1G69890,scRNA-seq
leaf epidermis,AT5G18030,AT5G18030,Mesophyll cell,10.1038/nature13919,SAUR21,PO0025034,leaf epidermis,AT5G18030,scRNA-seq
leaf epidermis,PBP1,AT3G16420,NA,NA,PBP1,PO0025034,leaf epidermis,PBP1,scRNA-seq
leaf epidermis,AT3G50840,AT3G50840,Epidermis,10.1093/plcell/koaa060,AT3G50840,PO0025034,leaf epidermis,AT3G50840,scRNA-seq
leaf epidermis,RABA5E,AT1G05810,NA,NA,ARA,PO0025034,leaf epidermis,RABA5E,scRNA-seq
leaf epidermis,AT1G48750,AT1G48750,NA,NA,AT1G48750,PO0025034,leaf epidermis,AT1G48750,scRNA-seq
leaf epidermis,TBL45,AT2G30010,NA,NA,TBL45,PO0025034,leaf epidermis,TBL45,scRNA-seq
leaf epidermis,PUP1,AT1G28230,Epidermis,10.1093/plcell/koaa060,PUP1,PO0025034,leaf epidermis,PUP1,scRNA-seq
leaf epidermis,AT5G49760,AT5G49760,Mesophyll cell,10.1038/nature13919,AT5G49760,PO0025034,leaf epidermis,AT5G49760,scRNA-seq
leaf epidermis,AT5G49760,AT5G49760,Epidermis,10.1093/plcell/koaa060,AT5G49760,PO0025034,leaf epidermis,AT5G49760,scRNA-seq
leaf epidermis,PIN3,AT1G70940,NA,NA,PIN3,PO0025034,leaf epidermis,PIN3,scRNA-seq
leaf epidermis,AT4G27870,AT4G27870,Epidermis,10.1093/plcell/koaa060,AT4G27870,PO0025034,leaf epidermis,AT4G27870,scRNA-seq
leaf epidermis,AT3G06035,AT3G06035,NA,NA,AT3G06035,PO0025034,leaf epidermis,AT3G06035,scRNA-seq
leaf epidermis,NAKR1,AT5G02600,NA,NA,NAKR1,PO0025034,leaf epidermis,NAKR1,scRNA-seq
leaf epidermis,AT5G16240,AT5G16240,Epidermis,10.1093/plcell/koaa060,S-ACP-DES1,PO0025034,leaf epidermis,AT5G16240,scRNA-seq
leaf epidermis,AT5G16240,AT5G16240,Guard cell,10.1093/plcell/koaa060,S-ACP-DES1,PO0025034,leaf epidermis,AT5G16240,scRNA-seq
leaf epidermis,XTH24,AT4G30270,NA,NA,XTH24,PO0025034,leaf mesophyll,XTH24,scRNA-seq
leaf epidermis,XTH24,AT4G30270,NA,NA,XTH24,PO0025034,leaf epidermis,XTH24,scRNA-seq
leaf epidermis,LOX4,AT1G72520,NA,NA,LOX4,PO0025034,leaf mesophyll,LOX4,scRNA-seq
leaf epidermis,LOX4,AT1G72520,NA,NA,LOX4,PO0025034,leaf epidermis,LOX4,scRNA-seq
leaf epidermis,NIP1;2,AT4G18910,Epidermis,10.1093/plcell/koaa060,NIP1-2,PO0025034,leaf epidermis,NIP1;2,scRNA-seq
leaf epidermis,BEE3,AT1G73830,Epidermis,10.1093/plcell/koaa060,BEE3,PO0025034,leaf epidermis,BEE3,scRNA-seq
leaf epidermis,AT5G47610,AT5G47610,Mesophyll cell,10.1038/nature13919,ATL79,PO0025034,leaf epidermis,AT5G47610,scRNA-seq
leaf epidermis,AT5G47610,AT5G47610,Epidermis,10.1093/plcell/koaa060,ATL79,PO0025034,leaf epidermis,AT5G47610,scRNA-seq
leaf epidermis,HTH,AT1G72970,Epidermis,10.1093/plcell/koaa060,HTH,PO0025034,leaf epidermis,HTH,scRNA-seq
leaf epidermis,SAUR24,AT5G18080,Mesophyll cell,10.1038/nature13919,SAUR24,PO0025034,leaf epidermis,SAUR24,scRNA-seq
leaf epidermis,MYB20,AT1G66230,NA,NA,MYB20,PO0025034,leaf epidermis,MYB20,scRNA-seq
leaf epidermis,AT5G54630,AT5G54630,Epidermis,10.1093/plcell/koaa060,AT5G54630,PO0025034,leaf epidermis,AT5G54630,scRNA-seq
leaf epidermis,CML42,AT4G20780,NA,NA,CML42,PO0025034,leaf epidermis,CML42,scRNA-seq
leaf epidermis,EXP3,AT2G37640,Epidermis,10.1093/plcell/koaa060,EXPA3,PO0025034,leaf epidermis,EXP3,scRNA-seq
leaf epidermis,AT5G55970,AT5G55970,NA,NA,AT5G55970,PO0025034,leaf epidermis,AT5G55970,scRNA-seq
leaf epidermis,RTFL16,AT3G25717,NA,NA,RTFL16,PO0025034,bundle sheath,RTFL16,scRNA-seq
leaf epidermis,RTFL16,AT3G25717,NA,NA,RTFL16,PO0025034,leaf epidermis,RTFL16,scRNA-seq
leaf epidermis,RTFL16,AT3G25717,NA,NA,RTFL16,PO0025034,leaf,RTFL16,Bulk RNA-seq
leaf epidermis,AT4G04630,AT4G04630,Epidermis,10.1093/plcell/koaa060,AT4G04630,PO0025034,bundle sheath,AT4G04630,scRNA-seq
leaf epidermis,AT4G04630,AT4G04630,Epidermis,10.1093/plcell/koaa060,AT4G04630,PO0025034,leaf epidermis,AT4G04630,scRNA-seq
leaf epidermis,AT4G04630,AT4G04630,Vasculature,10.1093/plcell/koaa060,AT4G04630,PO0025034,bundle sheath,AT4G04630,scRNA-seq
leaf epidermis,AT4G04630,AT4G04630,Vasculature,10.1093/plcell/koaa060,AT4G04630,PO0025034,leaf epidermis,AT4G04630,scRNA-seq
leaf epidermis,GolS2,AT1G56600,NA,NA,GOLS2,PO0025034,leaf epidermis,GolS2,scRNA-seq
leaf epidermis,AT4G18205,AT4G18205,Epidermis,10.1093/plcell/koaa060,PUP22,PO0025034,leaf epidermis,AT4G18205,scRNA-seq
leaf epidermis,AT1G63010,AT1G63010,Vasculature,10.1093/plcell/koaa060,AT1G63010,PO0025034,bundle sheath,AT1G63010,scRNA-seq
leaf epidermis,AT1G63010,AT1G63010,Vasculature,10.1093/plcell/koaa060,AT1G63010,PO0025034,leaf epidermis,AT1G63010,scRNA-seq
leaf epidermis,AT5G20110,AT5G20110,Epidermis,10.1093/plcell/koaa060,AT5G20110,PO0025034,leaf epidermis,AT5G20110,scRNA-seq
